NOME;SOBRENOME;EMAIL;TELEFONE_DDI;TELEFONE_DDD;TELEFONE_NUMERO;DATA_NASCIMENTO;CPF;SEXO;EMPRESA;CNPJ;IE;USUÁRIO;RUA;COMPLEMENTO;NÚMERO;BAIRRO;CIDADE;ESTADO;CEP;;;;;;
Neo;Matrix;neo@email.com;55;11;990011223;20/01/1989;34567890145;M;Zion;8,90123E+13;1234567;neo_user@email.com;Mainframe St;;101;Zion;Matrix;MX;12345678;;;;;;
Kiki;Delivery;kiki@email.com;55;11;223344556;26/05/1990;56789012367;F;Kiki's Delivery Service;1,23457E+13;12345678;kiki_user@email.com;Witch St;Black Cat Cottage;7;Koriko Town;Ghibli;GB;12345678;;;;;;
Meg;Hercules;meg@email.com;55;11;334455667;31/10/1991;89012345689;F;Thebes;3,45679E+13;23456789;meg_user@email.com;Acropolis St;;1;Thebes;Greece;GR;23456789;;;;;;
Gandalf;Grey;gandalf@email.com;55;11;445566778;05/03/1993;12345678901;M;Fellowship of the Ring;5,6789E+13;90123456;gandalf_user@email.com;Middle Earth;;3;The Shire;Middle Earth;ME;90123456;;;;;;
Spongebob;Squarepants;spongebob@email.com;55;11;556677889;11/07/1994;34567890123;M;Krusty Krab;8,90123E+13;23456789;spongebob_user@email.com;Conch St;Pineapple;124;Bikini Bottom;Pacific Ocean;PO;23456789;;;;;;
Ariel;Mermaid;ariel@email.com;55;11;667788990;16/11/1995;56789012345;F;Atlantica;1,23457E+13;34567890;ariel_user@email.com;Coral St;Seashell;17;Mermaid Cove;Atlantica;AT;34567890;;;;;;
Simba;Lion;simba@email.com;55;11;778899001;22/02/1997;89012345667;M;Pride Rock;3,45679E+13;45678901;simba_user@email.com;Savannah St;;9;Pride Lands;Pride Rock;PR;45678901;;;;;;
Moana;Waialiki;moana@email.com;55;11;889900112;28/06/1998;12345678989;F;Motunui;5,6789E+13;56789012;moana_user@email.com;Ocean St;Wayfinder's House;1;Motunui Village;Polynesia;PN;56789012;;;;;;
Buzz;Lightyear;buzz@email.com;55;11;990011223;03/11/1999;34567890101;M;Star Command;8,90123E+13;67890123;buzz_user@email.com;Starship St;Sector 4;3;Space Port;Space Command;SC;67890123;;;;;;
Katara;Waterbender;katara@email.com;55;11;112233445;09/03/2000;56789012323;F;Southern Water Tribe;1,23457E+13;78901234;katara_user@email.com;Southern Water St;Igloo;5;Southern Water Tribe;Water Tribe;WT;78901234;;;;;;
Simba;Lioness;lioness@email.com;55;11;223344556;14/07/2001;89012345645;F;Pride Rock;3,45679E+13;89012345;lioness_user@email.com;Savanna Rd;;11;Pride Lands;Pride Rock;PR;89012345;;;;;;
Jasmine;Sultan;jasmine@email.com;55;11;334455667;19/11/2002;12345678967;F;Agrabah Palace;5,6789E+13;1234567;jasmine_user@email.com;Palace Rd;;7;Agrabah;Agrabah;AG;89012345;;;;;;
Merlin;Wizard;merlin@email.com;55;11;445566778;25/02/1960;34567890189;M;Camelot;8,90123E+13;12345678;merlin_user@email.com;Wizard's Way;Tower 2;8;Avalon;Camelot;CA;12345678;;;;;;
Bulma;Briefs;bulma@email.com;55;11;556677889;01/07/1961;56789012301;F;Capsule Corp;1,23457E+13;23456789;bulma_user@email.com;Capsule Blvd;Capsule Tower;3;West City;Earth;EA;23456789;;;;;;
Wolverine;Logan;wolverine@email.com;55;11;667788990;07/11/1962;89012345623;M;XMen;3,45679E+13;34567890;wolverine_user@email.com;Xavier's School;Danger Room;1;Westchester;New York;NY;34567890;;;;;;
Toph;Beifong;toph@email.com;55;11;778899001;12/03/1964;12345678945;F;Metalbending Academy;5,6789E+13;45678901;toph_user@email.com;Metalbender St;;10;Gaoling;Earth Kingdom;EK;45678901;;;;;;
Neo;Matrix;neo@email.com;55;11;889900112;17/07/1965;34567890167;M;Zion;8,90123E+13;56789012;neo_user@email.com;Nebuchadnezzar Ave;Main Deck;7;Zion;The Matrix;TM;56789012;;;;;;
Ariel;Ocean;ocean@email.com;55;11;990011223;22/11/1966;56789012389;F;Coral Reef;1,23457E+13;67890123;ocean_user@email.com;Coral Ave;Seashell;3;Coral City;Underwater;UW;67890123;;;;;;
Sonic;Hedgehog;sonic@email.com;55;11;112233445;28/03/1968;89012345601;M;Sega;3,45679E+13;78901234;sonic_user@email.com;Green Hill Rd;;1;Emerald City;Mobius;MO;78901234;;;;;;
Nami;Navigator;nami@email.com;55;11;223344556;02/08/1969;12345678923;F;Straw Hat Pirates;5,6789E+13;89012345;nami_user@email.com;Thousand Sunny;Crow's Nest;2;East Blue;Grand Line;GL;89012345;;;;;;
Mulan;Warrior;warrior@email.com;55;11;334455667;08/12/1970;34567890145;F;Imperial Army;8,90123E+13;90123456;warrior_user@email.com;Imperial City;Training Ground;6;China;China;CH;90123456;;;;;;
Aladdin;Streetrat;aladdin@email.com;55;11;445566778;14/04/1972;56789012367;M;Agrabah;1,23457E+13;1234567;aladdin_user@email.com;Street Rd;;22;Agrabah;Agrabah;AG;90123456;;;;;;
Batman;Robin;robin@email.com;55;11;556677889;19/08/1973;89012345689;M;Bat Family;3,45679E+13;12345678;robin_user@email.com;Wayne Manor;Batcave;2;Gotham City;Gotham City;GC;12345678;;;;;;
